COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
Z1410096739,C17H21N5O,O=C(Nc1ccn(CCc2ccccn2)n1)NC1C=CCCC1,12.526182508888889,Z3625438064
Z3625438064,C17H21N5O,CN1CC(NC(=O)c2cccnc2-n2cccn2)CC12CCC2,12.526182508888889,Z1410096739
Z2911416838,C17H21NO4S,O=C(O)C1CSCCN(C(=O)c2ccc3c(c2O)CCCC3)C1,10.5398027994975,Z4211271527
Z4211271527,C17H21NO4S,O=C(O)C1(c2cccc(NS(=O)(=O)C3CC34CCC4)c2)CCC1,10.5398027994975,Z2911416838
Z1567291489,C13H15BrN4O2,Cc1cc2c(cc1Br)N(Cc1nc(=O)[nH][nH]1)CC(C)O2,13.09435626920364,Z3016311023
Z3016311023,C13H15BrN4O2,CC(CC(=O)Nc1ncc(Br)cc1CO)n1cccn1,13.09435626920364,Z1567291489
